"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",548.66965673302,-0.130294156207379,0.415747059809311,-0.313397661229741,0.753978560862737,0.848878285209878
"ENSG00000000005",10.2918933909073,-1.20362686281907,0.627084790901046,-1.91940050258531,0.0549336673911747,0.148839177306058
"ENSG00000000419",306.920869620025,0.620946529444082,0.244115404759285,2.54365975001201,0.0109697882589881,0.0464349270272233
"ENSG00000000457",323.886098662006,0.102211350359156,0.244964966806745,0.417248848647782,0.676496398534996,0.796886549649511
"ENSG00000000460",199.553218581541,-0.852514578534961,0.24820060088152,-3.43478047799696,0.000593034018261552,0.00515791004458221
"ENSG00000000938",355.111630348941,0.434884231642744,0.372477436299845,1.16754516988423,0.242990278020639,0.414082264025701
"ENSG00000000971",3052.49318560435,0.36193072412916,0.235542864481387,1.53658114384425,0.124395913030034,0.263579715508333
"ENSG00000001036",222.238482163533,0.448392432514753,0.224093686110564,2.00091506502117,0.0454015437831876,0.130235385365554
"ENSG00000001084",1005.14342955436,0.972601169072245,0.251420577262696,3.86842310069165,0.000109541471080722,0.00139178381074213
"ENSG00000001167",416.974766103946,-0.406401728020279,0.242702965672207,-1.67448192029579,0.0940359247280506,0.216175274092821
"ENSG00000001460",176.646232684441,-0.582087243009657,0.215585158322804,-2.70003393340313,0.00693324040291487,0.0330913548011583
"ENSG00000001461",311.618614986325,-0.582214380951985,0.199320130456288,-2.92100140421927,0.00348908254863334,0.0196007410528505
"ENSG00000001497",504.197460057474,-0.339892811308409,0.343289002956243,-0.990106902293439,0.32212187000864,0.499565918433362
"ENSG00000001561",798.510831443083,0.435580459448577,0.224099030516646,1.94369631338598,0.0519320834639836,0.143090273952319
"ENSG00000001617",58.5108931652826,-0.564730952204549,0.348123929102923,-1.62221239332728,0.104757878975308,0.23301536022654
"ENSG00000001626",1224.47062793257,-0.984909717277802,0.451599649611144,-2.18093552137578,0.0291881859381402,0.0948920845092882
"ENSG00000001629",1704.47108197625,0.231881798443592,0.0978297230558022,2.37025917278051,0.0177756199894238,0.0661404778093057
"ENSG00000001630",4.65168975090719,-0.301631282874394,0.592894103486414,-0.508743941119843,0.610931717924662,0.747588078470351
"ENSG00000001631",514.957787326476,0.11433455600761,0.186685190064724,0.612445775521726,0.540242863636345,0.692708310977015
"ENSG00000003400",545.160556051864,-0.524043942843313,0.295572006049394,-1.77298232619411,0.076231635526654,0.186823835835026
"ENSG00000003402",9819.90020337104,-0.307086612912066,0.169361016862013,-1.81320718664712,0.0697998718246489,0.175120859079492
"ENSG00000003436",10666.1473315393,1.18506243801493,0.23151071669382,5.11882324472353,3.07447932034109e-07,1.25615501699443e-05
"ENSG00000003509",254.665829182899,-0.395141640543486,0.302457264493548,-1.30643792340427,0.191403676370022,0.352948128834505
"ENSG00000003756",1498.91925375877,0.0691256165520763,0.125287591177034,0.551735538233793,0.581129557786591,0.72526495932684
"ENSG00000003987",261.204368960427,-0.877604872049532,0.319716784312259,-2.74494463572609,0.00605211069253321,0.0299313362586845
"ENSG00000003989",1311.71811232403,1.56921356833874,0.267872097421556,5.85807026354535,4.68276535276425e-09,4.04127428275548e-07
"ENSG00000004059",17.9683645390018,0.512479458784061,0.486445829284423,1.05351804442014,0.2921036286654,0.468690274983423
"ENSG00000004139",46.4606097202009,-0.35264006985246,0.443654377503663,-0.794853128321828,0.426698942101919,0.599868068953952
"ENSG00000004142",174.588116671462,-0.0139443384761467,0.383132662670406,-0.0363955878336127,0.97096693224908,0.984174596056639
"ENSG00000004399",588.749549358532,-0.711419629996298,0.157003998366681,-4.53121982495495,5.86440758166799e-06,0.00013815266151235
"ENSG00000004455",825.139155490834,0.836172502250696,0.267997196810598,3.12007928516373,0.00180802367854728,0.0117932934209971
"ENSG00000004468",487.123269693944,-0.184163244508796,0.354935721620799,-0.518863651333323,0.603855826976179,0.743208459258043
"ENSG00000004478",184.614825841618,0.531173974917117,0.313957381471068,1.69186649610933,0.0906714313748046,0.210674074410003
"ENSG00000004487",937.995121615721,-0.0572428446259315,0.139616077840117,-0.410001810045717,0.681804619761984,0.800439002170597
"ENSG00000004534",758.960414868495,-0.809938323503473,0.223548553800667,-3.62309802382205,0.000291095441991572,0.00299323975762154
"ENSG00000004660",41.3250470782411,-0.320545111575326,0.441511220471781,-0.726018041473111,0.467827710527805,0.634740171940147
"ENSG00000004700",237.068483961786,0.447018835191069,0.304127905407596,1.46983827278845,0.141605560761248,0.288446298202855
"ENSG00000004766",848.957511390584,0.235385376211591,0.23503206017047,1.00150326743026,0.316583561252796,0.494287838377817
"ENSG00000005059",350.771408303361,0.720739518367745,0.188879507870058,3.81586931528636,0.000135704317157164,0.0016314417375362
"ENSG00000005073",20.4162281121028,0.860353627393265,0.617561962450724,1.39314543269318,0.16357581678237,0.317869562986296
"ENSG00000005075",59.8019121602492,0.415115112790287,0.324957945534462,1.27744256909165,0.201446043996445,0.365085009201442
"ENSG00000005100",167.94178758796,0.229432766741359,0.320813876465534,0.715158487747045,0.474511116821639,0.640031245700263
"ENSG00000005102",21.0712851826661,0.8262241828887,0.512320804855257,1.61270862916084,0.1068078249215,0.236442135655958
"ENSG00000005108",559.981726619402,0.22406236600877,0.248199468922604,0.902751190328451,0.366657961320691,0.542276769759508
"ENSG00000005156",193.033145339137,-0.807773817502524,0.273394255506687,-2.9546115224896,0.00313062981871427,0.0179995252833283
"ENSG00000005175",831.426039826018,0.82572852017099,0.153504856823858,5.37916869378596,7.48305662532187e-08,4.09630753454108e-06
"ENSG00000005187",115.006294094575,-0.480719183512484,0.410674165177953,-1.17056105368639,0.241775259743607,0.412718591034728
"ENSG00000005189",61.6768928101936,-0.0930629745130046,0.441059815917085,-0.210998533882532,0.832888415395291,0.901553126948359
"ENSG00000005194",118.41180326285,-0.00433997474585823,0.306853718207728,-0.0141434647466786,0.988715524063524,0.99294205839426
"ENSG00000005206",64.9358055747723,-0.614348702247416,0.377353534687386,-1.62804544220413,0.103515250590756,0.231064540658099
"ENSG00000005238",103.87643461309,-0.590448436094614,0.366962150371423,-1.60901726648644,0.107612566167206,0.237850066211719
"ENSG00000005243",48.5373396453395,0.183184401767438,0.387955474188439,0.472178932777377,0.636799075711315,0.7662644421464
"ENSG00000005249",704.903852332277,0.342792966373139,0.246862543216215,1.38859853709319,0.164954862467705,0.31939234187743
"ENSG00000005302",389.735804859705,-0.154025892884993,0.268670528979796,-0.573289126536746,0.566448946444452,0.714822650392965
"ENSG00000005339",2439.53567242192,-0.35372011934536,0.159280770685501,-2.22073334918613,0.0263690272573721,0.0882707492694338
"ENSG00000005379",54.6717665055081,-1.54877670529048,0.453367806139416,-3.41615942799039,0.000635110521189702,0.00544519664561446
"ENSG00000005381",2.30206859466329,1.31073679801012,0.949612769527557,1.38028556488581,0.167498737703702,0.322870157111024
"ENSG00000006007",577.966677146446,-0.336058602024627,0.255760339380994,-1.31395900880478,0.18885999907291,0.349717454665458
"ENSG00000006015",58.0354723574458,-1.45638010644599,0.345092654773212,-4.22025820109991,2.44022667338799e-05,0.000426850405174332
"ENSG00000006016",32.4369713406249,2.74192860996159,0.669601097860858,4.09486874905237,4.22407615655308e-05,0.000654906032888134
"ENSG00000006025",48.5836716556761,-0.923100435539522,0.454914800525267,-2.0291721317347,0.0424407610166023,0.124137207780707
"ENSG00000006042",180.446099864841,-0.716898900172846,0.295860146252918,-2.42310060767698,0.0153886642020946,0.0593071895599065
"ENSG00000006047",28.496004929231,-1.46411599464539,0.487268383046498,-3.00474244910259,0.00265805820277603,0.0158800540928305
"ENSG00000006059",0.0218406187537676,0.34924621805692,2.96442323626952,0.117812535600151,0.906216196751384,NA
"ENSG00000006062",51.4829146293344,-1.6867055814804,0.39399027442865,-4.28108430830278,1.85984875209703e-05,0.000345327570161594
"ENSG00000006071",64.2046662679826,-0.436574784779975,0.60237795411364,-0.724752261928919,0.468604026997176,0.635589537058555
"ENSG00000006116",0.0172313295914544,0.34924621805692,2.96442323626952,0.117812535600151,0.906216196751384,NA
"ENSG00000006118",8.24666257879893,-1.04898619228807,0.510513900256266,-2.05476519201828,0.0399016897480257,0.118910690995042
"ENSG00000006125",1664.95214031413,0.0287626400688057,0.116028444182017,0.247893008232403,0.804217189726215,0.88287472509209
"ENSG00000006128",95.7199155920704,0.199269096420041,0.827495093210608,0.240810003654396,0.809702375955811,0.886709548704684
"ENSG00000006194",106.866014404353,-0.397417294229094,0.268363328764644,-1.48089269893366,0.138635168899337,0.283911313330774
"ENSG00000006210",178.600974519698,-0.399343799148584,0.275009424962664,-1.45210950207543,0.146471160274926,0.295470091593848
"ENSG00000006282",101.7261014606,-0.76811829246765,0.273542229314172,-2.80804281808145,0.00498435990798294,0.025704404830345
"ENSG00000006283",3.62018943279023,0.780040683750525,1.07350117436221,0.726632352511367,0.467451203817145,0.634381989134067
"ENSG00000006327",27.7725058136284,-0.0482699698343576,0.557772668915152,-0.0865405792080867,0.931036699508075,0.960156430446231
"ENSG00000006377",1.27645247999419,-1.6145641723776,1.30260222285724,-1.23949133821995,0.215163594540699,0.382444073853067
"ENSG00000006712",193.628610903978,-0.223813955780647,0.236116101732235,-0.947897894885886,0.343181436738655,0.520106979879434
"ENSG00000006715",800.097774645623,-0.0137564541837904,0.17167295264497,-0.0801317503534733,0.936132470803017,0.963238685055844
"ENSG00000006740",406.120097834733,-1.05069279466817,0.302375989947043,-3.47478910230998,0.000511255125566955,0.00460728846508527
"ENSG00000006744",227.723840649123,-0.212001416789351,0.267333021338691,-0.793023681577896,0.427764025491104,0.600766231416641
"ENSG00000006747",589.326894772165,-1.8191143526632,0.434432805824396,-4.18733191479676,2.82252908090185e-05,0.000478867396223218
"ENSG00000006756",217.257826274842,-1.03848934033081,0.24796340941499,-4.18807493726947,2.81330631011401e-05,0.000477781889915446
"ENSG00000006757",115.848004750987,-1.01209322694913,0.381616190897574,-2.65212339279592,0.00799873044346551,0.0368401778754737
"ENSG00000006788",1.44871778757843,1.33725241765671,1.24668154274829,1.07264956751406,0.283428376086645,0.459236577378525
"ENSG00000006831",595.03429814269,0.672769090366809,0.177119644900675,3.79838775503466,0.000145640356957669,0.00172822160160323
"ENSG00000006837",18.3226434569755,0.198573131280179,0.389759209425206,0.509476431802658,0.610418314129348,0.747230118938915
"ENSG00000007001",12.8676220372984,-1.99590714705409,0.65622322115746,-3.04150643059182,0.00235397537077948,0.0144423262229724
"ENSG00000007038",4.31442697966802,-1.25291362578918,0.951851317634368,-1.31629131837842,0.18807628362632,0.348827887888071
"ENSG00000007047",104.3070708353,-0.0509622044646496,0.264891374965874,-0.19238906691928,0.847437455772012,0.910526350327403
"ENSG00000007062",370.205372543755,-0.432742357998818,0.459086965068676,-0.942615214383365,0.345877754867277,0.522601359855291
"ENSG00000007080",10.9754558911335,0.104207965893452,0.431912508224199,0.241271007227601,0.809345080098571,0.88643305036696
"ENSG00000007129",6.86279093786329,-1.65161654449845,0.539114974855437,-3.06357015021022,0.00218712920220001,0.0136413312887954
"ENSG00000007168",2636.02149722807,-0.0372620825707155,0.106227926696723,-0.350774826633841,0.72575728411731,0.830665114785884
"ENSG00000007171",28.7653034815003,-1.34156359701639,0.676798642519296,-1.98221969243701,0.0474546575909705,0.134454863174416
"ENSG00000007174",143.041207597919,-0.424448230843444,0.698936563455401,-0.607277187996944,0.543666974649917,0.695359310109894
"ENSG00000007866",148.615415114226,0.320911664710153,0.347522249504101,0.923427680294083,0.355784372212386,0.532386116062677
"ENSG00000007908",1001.68505164835,0.043147723745892,0.687831832327864,0.0627300478372235,0.949981469791909,0.972396828802468
"ENSG00000007923",145.087777081905,-0.457575320761284,0.30042176653394,-1.52310974680855,0.127731250749153,0.26851705779828
"ENSG00000007933",247.325750048979,-0.538778305505117,0.408244959854997,-1.31974269981553,0.186920938439289,0.34748518229482
"ENSG00000007944",422.157624545983,-0.707665612702536,0.309507985476473,-2.28642117783526,0.0222296305493589,0.078058387950651
"ENSG00000007952",200.250479697891,-0.481228617752778,0.606406486188484,-0.793574324670403,0.427443284523529,0.600539442415991
"ENSG00000007968",21.5954378634138,1.4041534639904,0.748735183003013,1.87536728053655,0.0607422132050621,0.159443596580327
"ENSG00000008018",489.969617768465,0.0800978179750505,0.206396037288602,0.38807827430839,0.69795810907683,0.811694358191603
"ENSG00000008056",87.492492364918,1.46268619243309,0.515879735036701,2.83532399722783,0.00457792319355643,0.0240333863497849
"ENSG00000008083",302.520445828305,-0.30157324324604,0.261605102307236,-1.15278043350953,0.249000517454121,0.420931816183935
"ENSG00000008086",1236.6878105933,0.199233804444352,0.253520883241393,0.785867427949316,0.431945158686677,0.603750185511686
"ENSG00000008118",5.49820342129697,-2.08115418831526,0.716117211154858,-2.90616418080367,0.0036588941155802,0.0203385455028061
"ENSG00000008128",17.9531110737609,-1.28979608301865,0.521365759784221,-2.47387953430708,0.0133654755660605,0.0536108653544971
"ENSG00000008130",232.194074900049,-0.58082232591458,0.453272849806021,-1.28139668229223,0.20005436890034,0.363435056030627
"ENSG00000008196",0.81620509974043,-2.05845967596985,1.67206854957287,-1.23108569711193,0.218290814367758,0.386273577260239
"ENSG00000008197",0.0436812375075353,0.204977630600674,2.96442323626952,0.0691458723210594,0.94487350754798,NA
"ENSG00000008226",53.0991221924968,-1.95642766668548,0.635393512046805,-3.0790803330415,0.00207640683760475,0.0131321449812799
"ENSG00000008256",287.034064504544,-0.547545513692702,0.268315276940146,-2.0406796062337,0.041282683737376,0.121951902797366
"ENSG00000008277",567.849073745077,-0.121114155192326,0.344315432470533,-0.351753490464565,0.725023141316553,0.830240092293892
"ENSG00000008869",670.896969660111,-0.431335776888401,0.19219954472199,-2.24420810940169,0.0248190145180324,0.0845375816698586
"ENSG00000008952",3930.42335323924,0.515816172052959,0.122694430054516,4.2040716259391,2.62155918975543e-05,0.000449601300109291
"ENSG00000008988",2147.01318317596,0.63785386405458,0.122888533335789,5.19050758227917,2.09721581543493e-07,9.36000145595826e-06
"ENSG00000009307",6457.05382016295,0.551024588796115,0.10342495178875,5.32777225675297,9.94246798556541e-08,5.09626805987391e-06
"ENSG00000009335",1346.40285575923,0.846057257998671,0.230432763352298,3.67160140637282,0.000241035403204208,0.0025626108392201
"ENSG00000009413",7127.54395939182,0.0866891058087317,0.155819401484158,0.556343465467265,0.577976078807084,0.723272418569733
"ENSG00000009694",301.188366144528,-0.755958878655546,0.282813417657928,-2.67299509661137,0.00751773493160642,0.0351471769950587
"ENSG00000009709",0.190017756703918,1.4233063415377,2.9609744693257,0.480688488294136,0.630737913987593,NA
"ENSG00000009724",123.880912186116,-0.97363597507311,0.352789271718169,-2.759823081726,0.00578326711567598,0.0288311120724018
"ENSG00000009765",212.03176492205,-1.36263880354777,0.632903729603447,-2.15299537640828,0.0313190419127699,0.0996916812108588
"ENSG00000009780",312.723478532622,0.540574876606159,0.242153739058257,2.23236229474907,0.0255910277267943,0.0863671656022997
"ENSG00000009790",197.097554909859,-0.626141581097322,0.428550995925686,-1.46106668062883,0.143997143024016,0.292226955519044
"ENSG00000009830",123.45040486837,0.0812242815235209,0.343074284926859,0.236754210653933,0.812847476261327,0.888772789978045
"ENSG00000009844",782.150457470552,0.794257797365773,0.192071507736718,4.13521925622878,3.546158983324e-05,0.000576208253630408
